"CoC Number","CoC Name","Total Homeless, 2013","Sheltered Homeless, 2013","Unsheltered Homeless, 2013","Homeless Individuals, 2013","Sheltered Homeless Individuals, 2013","Unsheltered Homeless Individuals, 2013","Homeless People in Families, 2013","Sheltered Homeless People in Families, 2013","Unsheltered Homeless People in Families, 2013","Chronically Homeless, 2013","Sheltered Chronically Homeless, 2013","Unsheltered Chronically Homeless, 2013","Chronically Homeless Individuals, 2013","Sheltered Chronically Homeless Individuals, 2013","Unsheltered Chronically Homeless Individuals, 2013","Chronically Homeless People in Families, 2013","Sheltered Chronically Homeless People in Families, 2013","Unsheltered Chronically Homeless People in Families, 2013","Homeless Veterans, 2013","Sheltered Homeless Veterans, 2013","Unsheltered Homeless Veterans, 2013"
"IN-503","Indianapolis CoC","1599.0","1479.0","120.0","1109.0","993.0","116.0","490.0","486.0","4.0","182.0","137.0","45.0","164.0","119.0","45.0","18.0","18.0","0.0","320.0","309.0","11.0"
"KS-502","Wichita/Sedgwick County CoC","538.0","467.0","71.0","360.0","289.0","71.0","178.0","178.0","0.0","91.0","67.0","24.0","91.0","67.0","24.0","0.0","0.0","0.0","56.0","48.0","8.0"
"KS-503","Topeka/Shawnee County CoC","439.0","416.0","23.0","269.0","250.0","19.0","170.0","166.0","4.0","83.0","76.0","7.0","67.0","60.0","7.0","16.0","16.0","0.0","65.0","63.0","2.0"
"KS-505","Overland Park/Shawnee/Johnson County CoC","213.0","196.0","17.0","25.0","22.0","3.0","188.0","174.0","14.0","4.0","2.0","2.0","4.0","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0"
"KS-507","Kansas Balance of State CoC","1141.0","1059.0","82.0","645.0","568.0","77.0","496.0","491.0","5.0","129.0","91.0","38.0","100.0","62.0","38.0","29.0","29.0","0.0","231.0","221.0","10.0"
"KY-500","Kentucky Balance of State CoC","2392.0","1792.0","600.0","1316.0","899.0","417.0","1076.0","893.0","183.0","356.0","144.0","212.0","219.0","103.0","116.0","137.0","41.0","96.0","245.0","173.0","72.0"
"KY-501","Louisville/Jefferson County CoC","1445.0","1382.0","63.0","950.0","887.0","63.0","495.0","495.0","0.0","145.0","116.0","29.0","139.0","110.0","29.0","6.0","6.0","0.0","171.0","167.0","4.0"
"KY-502","Lexington/Fayette County CoC","1408.0","1317.0","91.0","1036.0","947.0","89.0","372.0","370.0","2.0","40.0","8.0","32.0","36.0","6.0","30.0","4.0","2.0","2.0","191.0","170.0","21.0"
"LA-500","Lafayette/Acadiana CoC","542.0","433.0","109.0","358.0","249.0","109.0","184.0","184.0","0.0","83.0","31.0","52.0","71.0","31.0","40.0","12.0","0.0","12.0","62.0","47.0","15.0"
"LA-502","Shreveport/Bossier/Northwest CoC","692.0","513.0","179.0","399.0","250.0","149.0","293.0","263.0","30.0","155.0","48.0","107.0","153.0","46.0","107.0","2.0","2.0","0.0","97.0","74.0","23.0"
"LA-503","New Orleans/Jefferson Parish CoC","2337.0","1298.0","1039.0","1848.0","836.0","1012.0","489.0","462.0","27.0","677.0","90.0","587.0","649.0","88.0","561.0","28.0","2.0","26.0","211.0","119.0","92.0"
"LA-505","Monroe/Northeast Louisiana CoC","200.0","172.0","28.0","88.0","60.0","28.0","112.0","112.0","0.0","23.0","10.0","13.0","23.0","10.0","13.0","0.0","0.0","0.0","6.0","2.0","4.0"
"LA-506","Slidell/Southeast Louisiana CoC","276.0","241.0","35.0","151.0","122.0","29.0","125.0","119.0","6.0","31.0","25.0","6.0","31.0","25.0","6.0","0.0","0.0","0.0","49.0","47.0","2.0"
"LA-507","Alexandria/Central Louisiana CoC","118.0","87.0","31.0","92.0","63.0","29.0","26.0","24.0","2.0","9.0","3.0","6.0","7.0","3.0","4.0","2.0","0.0","2.0","24.0","22.0","2.0"
"LA-508","Houma-Terrebonne/Thibodaux CoC","125.0","115.0","10.0","73.0","63.0","10.0","52.0","52.0","0.0","15.0","9.0","6.0","15.0","9.0","6.0","0.0","0.0","0.0","17.0","17.0","0.0"
"LA-509","Louisiana Balance of State (BoS)","936.0","792.0","144.0","899.0","758.0","141.0","37.0","34.0","3.0","122.0","29.0","93.0","66.0","15.0","51.0","56.0","14.0","42.0","109.0","55.0","54.0"
"MA-500","Boston CoC","5881.0","5688.0","193.0","2541.0","2348.0","193.0","3340.0","3340.0","0.0","543.0","494.0","49.0","465.0","416.0","49.0","78.0","78.0","0.0","458.0","446.0","12.0"
"MA-502","Lynn CoC","468.0","453.0","15.0","99.0","89.0","10.0","369.0","364.0","5.0","53.0","43.0","10.0","53.0","43.0","10.0","0.0","0.0","0.0","13.0","11.0","2.0"
"MA-503","Cape Cod/Islands CoC","514.0","321.0","193.0","357.0","171.0","186.0","157.0","150.0","7.0","149.0","58.0","91.0","135.0","44.0","91.0","14.0","14.0","0.0","24.0","15.0","9.0"
"MA-504","Springfield CoC","2117.0","2072.0","45.0","395.0","350.0","45.0","1722.0","1722.0","0.0","332.0","304.0","28.0","95.0","67.0","28.0","237.0","237.0","0.0","33.0","32.0","1.0"
"MA-505","New Bedford CoC","337.0","318.0","19.0","230.0","214.0","16.0","107.0","104.0","3.0","32.0","25.0","7.0","32.0","25.0","7.0","0.0","0.0","0.0","51.0","50.0","1.0"
"MA-506","Worcester City & County CoC","1657.0","1602.0","55.0","586.0","541.0","45.0","1071.0","1061.0","10.0","69.0","48.0","21.0","58.0","37.0","21.0","11.0","11.0","0.0","184.0","175.0","9.0"
"MA-507","Pittsfield/Berkshire County CoC","678.0","638.0","40.0","493.0","456.0","37.0","185.0","182.0","3.0","117.0","85.0","32.0","93.0","64.0","29.0","24.0","21.0","3.0","244.0","244.0","0.0"
"MA-508","Lowell CoC","559.0","534.0","25.0","218.0","193.0","25.0","341.0","341.0","0.0","67.0","47.0","20.0","34.0","14.0","20.0","33.0","33.0","0.0","48.0","48.0","0.0"
